WMFFL Scoring Breakdown for 2003 Week #1
Crusaders
HC,1545,Shanahan,5
QB,5482,Warner,-2
RB,2714,Davis,6
RB,3868,James,2
WR,2649,Harrison,5
WR,3367,Ward,20
TE,5663,Franks,3
K ,1197,Elam,14
Off,603,Miami,1
DL,3973,Smith,4
DL,3296,Wistrom,2
LB,5679,Bulluck,5
LB,3322,Cowart,8
DB,4911,Archuleta,9
DB,3326,Hawkins,1

Whiskey Tango
HC,1669,Tice,3
QB,1234,Gannon,15
RB,2938,Barber,8
RB,1294,Hearst,15
WR,1094,Brown,0
WR,2745,Horn,11
TE,1605,Sharpe,0
K ,4883,Feely,9
Off,612,Kansas City,6
DL,3527,Hicks,3
DL,2932,Pryce,7
LB,2651,Lewis,5
LB,2758,Thomas,4
DB,3312,Darius,3
DB,2956,Minter,6

Werewolves
HC,5647,Martz,0
QB,5429,Garcia,17
RB,5668,Alexander,18
RB,1237,Garner,17
WR,3870,Holt,14
WR,4929,Johnson,11
TE,4082,Miller,1
K ,3944,Gramatica,5
Off,614,San Diego,0
DL,2333,Strahan,8
DL,2969,Taylor,0
LB,4010,Barton,8
LB,5551,Maslowski,2
DB,2928,Scott,4
DB,2960,Sharper,2

Norsemen
HC,3486,Gruden,4
QB,3291,Manning,-3
RB,3353,Green,18
RB,3959,Zereoue,6
WR,3942,Booker,2
WR,3309,Moss,20
TE,2918,Gonzalez,1
K ,3114,Hall,12
Off,615,Seattle,7
DL,6510,Peppers,5
DL,4894,Smith,2
LB,3975,Colvin,4
LB,3220,Quarles,0
DB,5734,Wesley,8
DB,6553,Williams,4

Illuminati
HC,5648,Haslett,0
QB,1214,Favre,2
RB,3207,Holmes,27
RB,3869,Williams,11
WR,4906,Gardner,1
WR,5641,Thompson,0
TE,6522,Shockey,1
K ,3141,Mare,2
Off,629,New Orleans,1
DL,4037,Gregg,6
DL,2952,Wiley,3
LB,2536,Gildon,4
LB,5658,Urlacher,7
DB,6933,Newman,5
DB,6532,Reed,7

War Eagles
HC,3622,Reid,0
QB,3875,Culpepper,16
RB,2644,George,0
RB,4914,McAllister,11
WR,4077,Driver,0
WR,2656,Toomer,3
TE,6622,McMichael,0
K ,1873,Wilkins,7
Off,630,San Fran,14
DL,5662,Abraham,13
DL,6519,Freeney,1
LB,3300,Brooking,3
LB,3900,Peterson,5
DB,2337,Harrison,6
DB,3390,Schulters,7

MeggaMen
HC,6497,Spurrier,3
QB,3445,Hasselbeck,10
RB,4954,Henry,16
RB,3298,Taylor,7
WR,5657,Burress,7
WR,2650,Moulds,2
TE,2895,Pollard,-1
K ,5666,Janikowski,10
Off,608,Tennessee,2
DL,4897,Carter,3
DL,3344,Little,10
LB,5651,Arrington,6
LB,1914,Brooks,5
DB,3176,Knight,5
DB,1740,Woodson,4

Green Wave
HC,1705,Wannstedt,0
QB,3866,McNabb,-3
RB,2917,Dunn,6
RB,1213,Faulk,3
WR,5696,Porter,0
WR,1844,Smith,1
TE,1825,Brady,0
K ,3143,Longwell,5
Off,611,Denver,13
DL,1982,Douglas,7
DL,2210,Sapp,0
LB,2911,Boulware,4
LB,2711,Edwards,9
DB,2020,Glenn,4
DB,3328,Kelly,7

Rednecks
HC,1534,Fisher,3
QB,5848,Brady,-8
RB,5654,Lewis,5
RB,6559,Portis,22
WR,5727,Coles,5
WR,4900,Robinson,6
TE,4928,Crumpler,11
K ,1111,Carney,4
Off,628,St. Louis,-2
DL,3880,Kearse,4
DL,6946,Pace,3
LB,1904,Biekert,8
LB,3301,Spikes,15
DB,2261,Taylor,2
DB,6516,Williams,7

Freezer Burn
HC,1560,Reeves,4
QB,2943,Plummer,-6
RB,6524,Green,2
RB,4895,Tomlinson,1
WR,2705,Owens,8
WR,3917,Price,0
TE,4924,Heap,5
K ,3579,Akers,0
Off,618,Philadelphia,3
DL,2635,Rice,9
DL,3902,Rucker,11
LB,3549,Fletcher,7
LB,2937,Sharper,4
DB,3905,Bly,23
DB,2681,Dawkins,6

