WMFFL Scoring Breakdown for 2003 Week #10
War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,3
QB,3875,Culpepper,31
RB,5027,Buckhalter,0
RB,4954,Henry,0
WR,3872,Boston,11
WR,2656,Toomer,0
TE,6622,McMichael,1
K ,1873,Wilkins,18
Off,624,Minnesota,2
DL,6519,Freeney,3
DL,5961,Ogunleye,0
LB,3873,Claiborne,6
LB,6651,Fujita,8
DB,6970,Hamlin,8
DB,3977,Jackson,4

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,0
QB,3291,Manning,14
RB,3353,Green,24
RB,2968,Staley,3
WR,3309,Moss,19
WR,4907,Moss,19
TE,2918,Gonzalez,10
K ,3114,Hall,9
DL,3331,Mixon,2
DL,6510,Peppers,2
LB,6957,Barnett,3
LB,5716,Simoneau,9
DB,6986,Doss,7
DB,5734,Wesley,9

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,0
QB,1265,Green,25
RB,3207,Holmes,24
RB,3869,Williams,2
WR,6982,Boldin,15
WR,4906,Gardner,19
TE,6522,Shockey,1
K ,1383,Kasay,11
Off,618,Philadelphia,3
DL,4037,Gregg,4
DL,2952,Wiley,0
LB,3937,Porter,6
LB,3305,Simmons,3
DB,6933,Newman,6
DB,6532,Reed,8

Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,5
QB,3196,Kitna,5
RB,5668,Alexander,7
RB,3369,Pittman,4
WR,3870,Holt,0
WR,4929,Johnson,7
TE,4082,Miller,0
K ,6776,Cundiff,6
Off,614,San Diego,17
DL,3307,Holliday,4
DL,2333,Strahan,5
LB,4010,Barton,7
LB,6614,Thornton,9
DB,3318,Chavous,2
DB,2960,Sharper,6

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,0
QB,1349,Johnson,12
RB,2938,Barber,11
RB,1294,Hearst,0
WR,1795,Galloway,0
WR,2745,Horn,0
TE,1605,Sharpe,0
K ,4883,Feely,2
Off,612,Kansas City,2
DL,3527,Hicks,4
DL,2932,Pryce,0
LB,2651,Lewis,9
LB,2758,Thomas,0
DB,3312,Darius,7
DB,2956,Minter,20

Freezer Burn
Pos,ID,Player,Pts
HC,1746,Dungy,0
QB,5817,Bulger,-4
RB,6542,Foster,0
RB,4895,Tomlinson,28
WR,2986,Mason,5
WR,1455,McCardell,16
TE,4924,Heap,3
K ,3579,Akers,5
Off,625,Tampa Bay,0
DL,2635,Rice,11
DL,3902,Rucker,4
LB,3549,Fletcher,8
LB,2937,Sharper,9
DB,4959,Baxter,2
DB,3905,Bly,0

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,5
QB,5667,Pennington,15
RB,4920,Bennett,-2
RB,5654,Lewis,9
WR,5727,Coles,14
WR,2913,Hilliard,0
TE,3052,Mili,1
K ,6887,Reed,3
Off,627,Carolina,1
DL,5650,Brown,1
DL,5661,Ellis,2
LB,2736,Holmes,4
LB,3301,Spikes,3
DB,6516,Williams,4
DB,2652,Woods,6

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,0
QB,3866,McNabb,13
RB,2917,Dunn,17
RB,1213,Faulk,12
WR,5729,Jackson,0
WR,5696,Porter,6
TE,3908,Kleinsasser,2
K ,3143,Longwell,2
Off,631,Baltimore,1
DL,1982,Douglas,0
DL,2210,Sapp,3
LB,2911,Boulware,7
LB,3466,Wayne,15
DB,2020,Glenn,7
DB,2123,Marion,3

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,0
QB,1755,McNair,11
RB,2714,Davis,0
RB,3868,James,3
WR,2649,Harrison,6
WR,3367,Ward,14
TE,5663,Franks,0
K ,5822,Edinger,5
Off,603,Miami,0
DL,2646,Clemons,3
DL,6533,Grant,0
LB,5679,Bulluck,10
LB,3322,Cowart,11
DB,6411,Harper,6
DB,3098,Stoutmire,7

MeggaMen
Pos,ID,Player,Pts
HC,5646,Belichick,0
QB,3445,Hasselbeck,6
RB,6456,Shipp,6
RB,4932,Thomas,0
WR,4946,Chambers,0
WR,2638,Glenn,0
TE,2946,Jones,2
K ,5666,Janikowski,6
Off,623,Green Bay,16
DL,3880,Kearse,9
DL,2969,Taylor,2
LB,5651,Arrington,5
LB,1914,Brooks,5
DB,2965,Barber,3
DB,3887,Winfield,7

