WMFFL Scoring Breakdown for 2003 Week #9
Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,0
QB,3196,Kitna,-1
RB,5668,Alexander,6
RB,1237,Garner,7
WR,3870,Holt,27
WR,4929,Johnson,1
TE,2680,Conwell,0
K ,6776,Cundiff,3
Off,614,San Diego,6
DL,2977,Berry,2
DL,2333,Strahan,5
LB,4010,Barton,9
LB,6614,Thornton,4
DB,3318,Chavous,13
DB,2960,Sharper,3

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,3
QB,3875,Culpepper,19
RB,5027,Buckhalter,5
RB,7250,Harris,0
WR,3872,Boston,0
WR,2656,Toomer,14
TE,6622,McMichael,5
K ,1873,Wilkins,4
Off,624,Minnesota,5
DL,6519,Freeney,18
DL,2140,McGinest,4
LB,3873,Claiborne,3
LB,4020,Foreman,4
DB,6970,Hamlin,1
DB,2337,Harrison,6

Freezer Burn
Pos,ID,Player,Pts
HC,1746,Dungy,3
QB,5817,Bulger,8
RB,3950,Bryson,2
RB,4895,Tomlinson,8
WR,1455,McCardell,8
WR,2705,Owens,6
TE,4924,Heap,9
K ,3579,Akers,12
Off,611,Denver,8
DL,2635,Rice,8
DL,3902,Rucker,8
LB,5033,Hartwell,5
LB,2937,Sharper,2
DB,3905,Bly,0
DB,5673,Plummer,8

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,0
QB,3291,Manning,7
RB,3918,Cloud,0
RB,3353,Green,19
WR,3309,Moss,10
WR,4907,Moss,29
TE,6529,Graham,8
K ,3114,Hall,-1
Off,615,Seattle,0
DL,3331,Mixon,4
DL,5535,Whitehead,16
LB,6957,Barnett,5
LB,5665,Peterson,6
DB,6986,Doss,1
DB,6788,Russell,4

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,0
QB,3866,McNabb,12
RB,2944,Dillon,0
RB,2917,Dunn,1
WR,5729,Jackson,9
WR,1844,Smith,0
TE,1825,Brady,-2
K ,3143,Longwell,13
Off,631,Baltimore,7
DL,1982,Douglas,0
DL,2210,Sapp,2
LB,2911,Boulware,10
LB,2711,Edwards,9
DB,2020,Glenn,7
DB,2123,Marion,3

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,0
QB,4947,Carter,3
RB,2714,Davis,9
RB,3868,James,11
WR,2649,Harrison,0
WR,3367,Ward,12
TE,5663,Franks,0
K ,1197,Elam,5
Off,603,Miami,0
DL,2646,Clemons,2
DL,6533,Grant,3
LB,2702,Bruschi,3
LB,3322,Cowart,6
DB,6411,Harper,6
DB,3098,Stoutmire,14

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,0
QB,1349,Johnson,12
RB,2938,Barber,4
RB,1294,Hearst,1
WR,1795,Galloway,0
WR,2745,Horn,0
TE,1605,Sharpe,1
K ,4883,Feely,12
Off,612,Kansas City,0
DL,3527,Hicks,0
DL,2932,Pryce,1
LB,2651,Lewis,20
LB,2758,Thomas,12
DB,3312,Darius,4
DB,2956,Minter,5

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,3
QB,1214,Favre,16
RB,6526,Duckett,6
RB,3869,Williams,6
WR,6982,Boldin,8
WR,4906,Gardner,0
TE,6522,Shockey,6
K ,1383,Kasay,4
Off,618,Philadelphia,5
DL,4037,Gregg,3
DL,2952,Wiley,2
LB,3937,Porter,3
LB,3305,Simmons,5
DB,6933,Newman,4
DB,6532,Reed,2

MeggaMen
Pos,ID,Player,Pts
HC,6497,Spurrier,0
QB,3445,Hasselbeck,7
RB,7029,Davis,1
RB,6456,Shipp,8
WR,4946,Chambers,6
WR,2638,Glenn,14
TE,2946,Jones,8
K ,5666,Janikowski,9
Off,623,Green Bay,19
DL,3344,Little,0
DL,2969,Taylor,4
LB,5651,Arrington,9
LB,1914,Brooks,8
DB,2965,Barber,7
DB,3176,Knight,1

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,0
QB,5667,Pennington,20
RB,5654,Lewis,2
RB,6559,Portis,13
WR,5727,Coles,6
WR,4974,Smith,8
TE,3052,Mili,1
K ,1111,Carney,6
Off,627,Carolina,13
DL,5661,Ellis,2
DL,2923,Holmes,0
LB,2510,Armstead,2
LB,2736,Holmes,3
DB,3874,McAlister,4
DB,6516,Williams,6

